Model,MAE,RMSE,R2 Score
5_XGBoost,2.996374957538346,4.606305197630194,0.9176563827108167
4_Random_Forest,3.734132387309294,5.463242192302882,0.8841688335094583
3_Decision_Tree,4.293786407766991,6.525413649798063,0.8347503240203619
2_Polynomial_Regression,5.969585860171354,7.455364369400608,0.7842939778598573
1_Linear_Regression,7.745559243921434,9.79647590162436,0.627553179231485
